Title,Director,Rating,Synopsis,Release Date,Runtime
Il Sorpasso,Dino Risi,8.22 out of 10,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.","December 05, 1962",1h 45m
Impossible Things,Ernesto Contreras,8.40 out of 10,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.","June 17, 2021",1h 28m
In the Mood for Love,Wong Kar-Wai,8.10 out of 10,"In 1962 Hong Kong, two neighbors form a strong bond after both suspect extramarital activities of their spouses.","September 29, 2000",1h 39m
Incendies,Denis Villeneuve,8.10 out of 10,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.","September 17, 2010",2h 11m
Inception,Christopher Nolan,8.37 out of 10,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.","July 15, 2010",2h 28m
Inglourious Basterds,Quentin Tarantino,8.22 out of 10,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.","August 02, 2009",2h 33m
Innocent Voices,Luis Mandoki,8.10 out of 10,"A young boy, attempting to have a normal childhood in 1980s El Salvador, is caught up in a dramatic fight for his life when he desperately tries to avoid the war that is raging all around him.","January 28, 2005",2h 0m
Interstellar,Christopher Nolan,8.40 out of 10,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"November 05, 2014",2h 49m
Investigation of a Citizen Above Suspicion,Elio Petri,8.18 out of 10,"Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects.","October 16, 1970",1h 51m
It's a Wonderful Life,Frank Capra,8.27 out of 10,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.","December 20, 1946",2h 10m
Jojo Rabbit,Taika Waititi,8.02 out of 10,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.","October 18, 2019",1h 48m
Joker,Todd Phillips,8.10 out of 10,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","October 01, 2019",2h 2m
"Josee, the Tiger and the Fish",Kotaro Tamura,8.28 out of 10,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.","December 25, 2020",1h 38m
Judgment at Nuremberg,Stanley Kramer,8.10 out of 10,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.","December 18, 1961",3h 11m
Jujutsu Kaisen 0,Sunghoo Park,8.16 out of 10,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?","December 24, 2021",1h 45m
Justice League Dark: Apokolips War,Matt Peters,8.21 out of 10,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.","May 05, 2020",1h 30m
Klaus,Sergio Pablos,8.24 out of 10,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.","November 08, 2019",1h 36m
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,Takaomi Kanasaki,8.07 out of 10,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.","August 30, 2019",1h 30m
La Dolce Vita,Federico Fellini,8.09 out of 10,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.","February 05, 1960",2h 56m
La Haine,Mathieu Kassovitz,8.09 out of 10,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.","May 31, 1995",1h 38m
Lawrence of Arabia,David Lean,8.00 out of 10,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.","December 11, 1962",3h 48m
Le Trou,Jacques Becker,8.30 out of 10,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.","March 18, 1960",2h 12m
Life in a Year,Mitja Okorn,8.30 out of 10,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.","November 27, 2020",1h 47m
Life Is Beautiful,Roberto Benigni,8.45 out of 10,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,"December 20, 1997",1h 56m
Lion,Garth Davis,8.07 out of 10,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.","November 24, 2016",1h 58m
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,8.12 out of 10,A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,"August 28, 1998",1h 45m
"Love, Simon",Greg Berlanti,8.00 out of 10,"Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online.","February 16, 2018",1h 50m
Loving Vincent,Hugh Welchman,8.00 out of 10,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.,"June 22, 2017",1h 35m
Léon: The Professional,Luc Besson,8.30 out of 10,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.","September 14, 1994",1h 51m
M,Fritz Lang,8.08 out of 10,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.","May 11, 1931",1h 51m
Maquia: When the Promised Flower Blooms,Mari Okada,8.20 out of 10,"Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her.","February 24, 2018",1h 55m
Me Against You: Mr. S's Vendetta,Gianluca Leuzzi,8.10 out of 10,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.","January 17, 2020",1h 4m
Memento,Christopher Nolan,8.18 out of 10,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.","October 11, 2000",1h 53m
Memories of Murder,Bong Joon-ho,8.06 out of 10,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.","May 02, 2003",2h 11m
Metropolis,Fritz Lang,8.12 out of 10,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.","February 06, 1927",2h 28m
Michael Jackson's Thriller,John Landis,8.18 out of 10,"A night at the movies turns into a nightmare when Michael and his date are attacked by a horde of bloody-thirsty zombies. On top of the success of the Thriller album and Michael Jackson's electrifying performance at Motown 25, the short film/music video for ""Thriller"" established Jackson as an international superstar and global phenomenon. Thriller is credited for transforming music videos into a serious art form, breaking down racial barriers in popular entertainment, popularizing the making-of documentary format and creating a home video market. The success transformed Jackson into a dominant force in global pop culture. In 2009, it became the first music video inducted into the United States National Film Registry by the Library of Congress as ""culturally, historically or aesthetically significant"". ""Thriller"" was also Jackson's seventh and final U.S. Hot 100 Top 10 hit from the Thriller album. It was the first album in history to have seven U.S. Top 10s.","November 14, 1983",0h 14m
Miracle in Cell No. 7,Mehmet Ada Öztekin,8.26 out of 10,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.","October 10, 2019",2h 12m
"Miraculous World: New York, United HeroeZ",Thomas Astruc,8.10 out of 10,"Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!","September 25, 2020",1h 1m
Modern Times,Charlie Chaplin,8.29 out of 10,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..","February 05, 1936",1h 27m
Mommy,Xavier Dolan,8.20 out of 10,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.","September 19, 2014",2h 18m
Mortal Kombat Legends: Scorpion's Revenge,Ethan Spaulding,8.10 out of 10,"After the vicious slaughter of his family by stone-cold mercenary Sub-Zero, Hanzo Hasashi is exiled to the torturous Netherrealm. There, in exchange for his servitude to the sinister Quan Chi, he’s given a chance to avenge his family – and is resurrected as Scorpion, a lost soul bent on revenge. Back on Earthrealm, Lord Raiden gathers a team of elite warriors – Shaolin monk Liu Kang, Special Forces officer Sonya Blade and action star Johnny Cage – an unlikely band of heroes with one chance to save humanity. To do this, they must defeat Shang Tsung’s horde of Outworld gladiators and reign over the Mortal Kombat tournament.","April 12, 2020",1h 20m
My Friends,Mario Monicelli,8.14 out of 10,Four inseparable friends try to face their midlife crisis with daytrips and pranks at the expense of their families and the people around them.,"October 24, 1975",2h 20m
My Hero Academia: Heroes Rising,Kenji Nagasaki,8.17 out of 10,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation... until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.","December 20, 2019",1h 44m
My Mom Is a Character 3,Susana Garcia,8.20 out of 10,Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,"December 26, 2019",1h 51m
My Name Is Khan,Karan Johar,8.00 out of 10,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.","February 10, 2010",2h 45m
My Neighbor Totoro,Hayao Miyazaki,8.10 out of 10,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.","April 16, 1988",1h 26m
Neon Genesis Evangelion: The End of Evangelion,Kazuya Tsurumaki,8.31 out of 10,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity. An alternate ending to the television series ""Neon Genesis Evangelion"", which aired from 1995 to 1996 and whose final two episodes were controversial for their atypically abstract direction.","July 19, 1997",1h 27m
New Gods: Nezha Reborn,Zhao Ji,8.10 out of 10,"While living as an ordinary deliveryman and motor racing fan, Nezha encounters old nemeses and must rediscover his powers to protect his loved ones.","February 06, 2021",1h 56m
Oldboy,Park Chan-wook,8.26 out of 10,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.","November 21, 2003",2h 0m
On My Skin,Alessio Cremonini,8.00 out of 10,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime and mysteriously found dead during his detention. In one week's time, a family is changed forever.","September 12, 2018",1h 40m
Once Upon a Studio,Trent Correy,8.30 out of 10,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.","September 24, 2023",0h 9m
Once Upon a Time in America,Sergio Leone,8.42 out of 10,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","May 23, 1984",3h 49m
Once Upon a Time in the West,Sergio Leone,8.29 out of 10,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.","December 21, 1968",2h 46m
One Flew Over the Cuckoo's Nest,Miloš Forman,8.41 out of 10,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.","November 19, 1975",2h 13m
Oppenheimer,Christopher Nolan,8.08 out of 10,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,"July 19, 2023",3h 1m
Out of the Clear Blue Sky,Pepe Bojórquez,8.22 out of 10,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.","December 24, 2019",1h 52m
Palmer,Fisher Stevens,8.13 out of 10,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.","January 28, 2021",1h 50m
Paper Lives,Can Ulkay,8.05 out of 10,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.","March 12, 2021",1h 36m
Parasite,Bong Joon-ho,8.50 out of 10,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","May 30, 2019",2h 13m
"Paris, Texas",Wim Wenders,8.10 out of 10,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.","July 16, 1984",2h 25m
Paths of Glory,Stanley Kubrick,8.30 out of 10,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,"October 25, 1957",1h 28m
Perfect Blue,Satoshi Kon,8.31 out of 10,"Encouraged by her managers, rising pop star Mima takes on a recurring role on a popular TV show, when suddenly her handlers and collaborators begin turning up murdered.","February 28, 1998",1h 22m
Persona,Ingmar Bergman,8.20 out of 10,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer.","October 18, 1966",1h 23m
Piper,Alan Barillaro,8.10 out of 10,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.","June 16, 2016",0h 6m
Portrait of a Lady on Fire,Céline Sciamma,8.10 out of 10,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","September 18, 2019",2h 1m
Prayers for Bobby,Russell Mulcahy,8.10 out of 10,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.","January 24, 2009",1h 29m
Pride & Prejudice,Joe Wright,8.07 out of 10,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.","September 16, 2005",2h 7m
Primal: Tales of Savagery,Genndy Tartakovsky,8.40 out of 10,"Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.","November 21, 2019",1h 25m
Princess Mononoke,Hayao Miyazaki,8.33 out of 10,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.","July 12, 1997",2h 14m
Prisoners,Denis Villeneuve,8.10 out of 10,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.","September 19, 2013",2h 33m
Psycho,Alfred Hitchcock,8.40 out of 10,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","June 22, 1960",1h 49m
Pulp Fiction,Quentin Tarantino,8.49 out of 10,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","September 10, 1994",2h 34m
Purple Hearts,Elizabeth Allen Rosenbaum,8.12 out of 10,"An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.","July 29, 2022",2h 2m
Puss in Boots: The Last Wish,Joel Crawford,8.22 out of 10,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","December 07, 2022",1h 43m
Radical,Christopher Zalla,8.40 out of 10,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.","October 19, 2023",2h 6m
Ran,Akira Kurosawa,8.06 out of 10,"With Ran, legendary director Akira Kurosawa reimagines Shakespeare's King Lear as a singular historical epic set in sixteenth-century Japan. Majestic in scope, the film is Kurosawa's late-life masterpiece, a profound examination of the folly of war and the crumbling of one family under the weight of betrayal, greed, and the insatiable thirst for power.","June 01, 1985",2h 40m
Rascal Does Not Dream of a Dreaming Girl,Soichi Masui,8.20 out of 10,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.","June 15, 2019",1h 30m
Rashomon,Akira Kurosawa,8.10 out of 10,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.","August 26, 1950",1h 28m
Rear Window,Alfred Hitchcock,8.40 out of 10,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"August 01, 1954",1h 52m
Red Beard,Akira Kurosawa,8.10 out of 10,"Aspiring to an easy job as personal physician to a wealthy family, Noboru Yasumoto is disappointed when his first post after medical school takes him to a small country clinic under the gruff doctor Red Beard. Yasumoto rebels in numerous ways, but Red Beard proves a wise and patient teacher. He gradually introduces his student to the unglamorous side of the profession, ultimately assigning him to care for a prostitute rescued from a local brothel.","April 03, 1965",3h 5m
"Red, White & Royal Blue",Matthew López,8.00 out of 10,"After an altercation between Alex, the president's son, and Britain's Prince Henry at a royal event becomes tabloid fodder, their long-running feud now threatens to drive a wedge in U.S./British relations. When the rivals are forced into a staged truce, their icy relationship begins to thaw and the friction between them sparks something deeper than they ever expected.","July 27, 2023",2h 1m
Requiem for a Dream,Darren Aronofsky,8.00 out of 10,The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.,"October 06, 2000",1h 42m
Reservoir Dogs,Quentin Tarantino,8.10 out of 10,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.","September 02, 1992",1h 39m
Robot Dreams,Pablo Berger,8.04 out of 10,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,"December 06, 2023",1h 42m
Rocco and His Brothers,Luchino Visconti,8.00 out of 10,"When a impoverished widow’s family moves to the big city, two of her five sons become romantic rivals with deadly results.","October 07, 1960",2h 58m
"Rome, Open City",Roberto Rossellini,8.00 out of 10,"During the Nazi occupation of Rome in 1944, the leader of the Resistance is chased by the Nazis as he seeks refuge and a way to escape.","October 08, 1945",1h 43m
Room,Lenny Abrahamson,8.00 out of 10,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","October 16, 2015",1h 58m
Sansho the Bailiff,Kenji Mizoguchi,8.10 out of 10,"In medieval Japan, a woman and her children journey to find the family's patriarch, who was exiled years before.","March 31, 1954",2h 4m
Saving Private Ryan,Steven Spielberg,8.22 out of 10,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.","July 24, 1998",2h 49m
Scarface,Brian De Palma,8.16 out of 10,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","December 09, 1983",2h 49m
Scenes from a Marriage,Ingmar Bergman,8.10 out of 10,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.","September 15, 1974",2h 49m
Schindler's List,Steven Spielberg,8.57 out of 10,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"December 15, 1993",3h 15m
Scooby-Doo! and KISS: Rock and Roll Mystery,Spike Brandt,8.00 out of 10,"Get ready to Rock! Scooby-Doo and the Mystery Inc. Gang team up with the one and only KISS in this all-new, out-of-this-world adventure! We join the Gang at KISS World – the all-things-KISS theme park, as they investigate a series of strange hauntings. With help from KISS, they discover that the Crimson Witch has returned to summon The Destroyer from the alternate dimension of Kissteria! The evil duos ghastly plan, to destroy the earth! Can the Gang's cunning and KISS's power of rock save the day?!","July 09, 2015",1h 19m
Se7en,David Fincher,8.40 out of 10,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.","September 22, 1995",2h 7m
Seven Samurai,Akira Kurosawa,8.50 out of 10,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.","April 26, 1954",3h 27m
Sherlock Jr.,Buster Keaton,8.10 out of 10,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","April 17, 1924",0h 45m
Shutter Island,Martin Scorsese,8.20 out of 10,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.","February 14, 2010",2h 18m
Silenced,Hwang Dong-hyuk,8.20 out of 10,"Based on actual events that took place at Gwangju Inhwa School for the hearing-impaired, where young deaf students were the victims of repeated sexual assaults by faculty members over a period of five years in the early 2000s.","September 22, 2011",2h 5m
Simone: Woman of the Century,Olivier Dahan,8.01 out of 10,"Simone Veil's life story through the pivotal events of Twentieth Century. Her childhood, her political battles, her tragedies. An intimate and epic portrait of an extraordinary woman who eminently challenged and transformed her era defending a humanist message still keenly relevant today.","October 12, 2022",2h 20m
Singin' in the Rain,Stanley Donen,8.15 out of 10,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.","April 09, 1952",1h 43m
Society of the Snow,J. A. Bayona,8.00 out of 10,"On October 13, 1972, Uruguayan Air Force Flight 571, chartered to take a rugby team to Chile, crashes into a glacier in the heart of the Andes.","December 15, 2023",2h 24m
Some Like It Hot,Billy Wilder,8.10 out of 10,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.","March 19, 1959",2h 2m
Song of the Sea,Tomm Moore,8.00 out of 10,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival.","June 23, 2014",1h 34m
Soul,Pete Docter,8.12 out of 10,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.","December 25, 2020",1h 41m
